"name","category","subcategory","url","Sow/ plant outdoors","Article number","Portion contents","Suitable for professional cultivation","Thousand grain weight","Plant outdoors","Harvest","Pre-cultivation","Distances","Sowing depth","Cultivation","Spacing","Required quantity of seeds","Sowing","Blossoming period","Planting","Distance","Propagator","Thousand seeds mass","Required quantity","Sowing outdoors","Distances approx.","1stharvest","Germination temperature","1st harvest","Prpagator","Sow/ plant in greenhouse","Direct sowing","Development time approx.","Precision seeds","Thousand seeds mass","Sowing direct outside","Harvesting","Sowing/Pre-culttivation","Thousand grain mass","Ripening period","Distance        Ko49:","Ko51","to a scale of 10 0 (mild) – 10 (extremely hot).","Aussaat/ Pflanzung Freiland","Artikelnummer","Portionsinhalt","Tausendkorngewicht (TKG)","Ernte","Pflanzung Freiland","Voranzucht","Aussaat","Abstände","Anbau","Abstand","Saatgutbedarf","Saattiefe","Blütezeit","Legezeit","Pflanzabstände","Pflanzgutbedarf","Pflanztiefe","Vermehrer","Pflanzung","Stecktiefe","Direktsaat","Tausendkornmasse","Keimtemperatur","1. Ernte","Aussaat/ Pflanzung Gewächshaus","Voranzucht bis Ernte","Entwicklungszeit","Aussaat/Voranzucht","Präzisionssaatgut","Vorkultur","Kulturdauer","Saatttiefe","10-stufigen Skala 0 (mild) - 10 (extrem scharf)."
"Tomacevski","Beans","Dry beans","https://www.reinsaat.at/shop/EN/beans/dry_beans/tomacevski/","[9,10,11,12,13]","Bo43","40 g",true,"457.88 g",,"approx. 6-8 weeks after sowing",,"40-60 x 8-10 cm","2-3 cm",,,"0,8-1,2 kg/acre.",,,,,"DBO, HSC, RFE","200 – 620g (depending on varieties)",,"from beginning of May to beginning of June",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Black Turtle","Beans","Dry beans","https://www.reinsaat.at/shop/EN/beans/dry_beans/black_turtle/","[9,10,11,12,13]","Bo42","20 g",true,"202.19 g",,"approx. 6-8 weeks after sowing",,"40-60 x 8-10 cm","2-3 cm",,,"0,8-1,2 kg/acre.",,,,,"DBO, HSC, RFE","200 – 620g (depending on varieties)",,"from beginning of May to beginning of June",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dalmatin","Beans","Dry beans","https://www.reinsaat.at/shop/EN/beans/dry_beans/dalmatin/","[9,10,11,12,13]","Bo44","40 gr",true,"552.97 g",,"approx. 6-8 weeks after sowing",,"40-60 x 8-10 cm","2-3 cm",,,"0,8-1,2 kg/acre.",,,,,"DBO, HSC, RFE","200 – 620g (depending on varieties)",,"from beginning of May to beginning of June",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canadian Wonder","Beans","Dry beans","https://www.reinsaat.at/shop/EN/beans/dry_beans/canadian_wonder/","[9,10,11,12,13]","Bo41","40 g",true,"472.02 g",,"approx. 6-8 weeks after sowing",,"40-60 x 8-10 cm","2-3 cm",,,"0,8-1,2 kg/acre.",,,,,"DBO, HSC, RFE","200 – 620g (depending on varieties)",,"from beginning of May to beginning of June",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Borlotto lingua di fuoco 2","Beans","Dry beans","https://www.reinsaat.at/shop/EN/beans/dry_beans/borlotto_lingua_di_fuoco_2/","[9,10,11,12,13]","Bo40","40 g",true,"617.96 g",,"approx. 6-8 weeks after sowing",,"40-60 x 8-10 cm","2-3 cm",,,"0,8-1,2 kg/acre.",,,,,"DBO, HSC, RFE","200 – 620g (depending on varieties)",,"from beginning of May to beginning of June",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wallone","Lettuce","Endive salad","https://www.reinsaat.at/shop/EN/lettuce/endive_salad/wallone/","[11,12,13,14]","Sa41","ca. 250 Pflanzen",true,"1.63 g",,"[17,18,19,20,21,22]","from June to the end of July for harvest","30 x 30 - 40 cm","light germinator, only slightly cover with soil.",,,,,,,,"GAM, PAN, RFE, VBZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Escariol grüner","Lettuce","Endive salad","https://www.reinsaat.at/shop/EN/lettuce/endive_salad/escariol_gruener/","[11,12,13,14]","Sa40","ca. 250 Pflanzen.",true,"1.47 g",,"[17,18,19,20,21,22]","from June to the end of July for harvest","30 x 30 - 40 cm","light germinator, only slightly cover with soil.",,,,,,,,"GAM, PAN, RFE, VBZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diva","Lettuce","Endive salad","https://www.reinsaat.at/shop/EN/lettuce/endive_salad/diva/","[12,13]","Sa71","0.5 g",true,"1.32 g",,"[17,18,19,20]","from June to the end of July for harvest","30 x 30 - 40 cm","light germinator, only slightly cover with soil.",,,,,,,,"GAM, PAN, RFE, VBZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nuance","Lettuce","Endive salad","https://www.reinsaat.at/shop/EN/lettuce/endive_salad/nuance/","[11,12,13,14]","Sa73","50 Seeds",true,"36.90 g",,"[17,18,19,20,21,22]","from June to the end of July for harvest","30 x 30 - 40 cm","light germinator, only slightly cover with soil.",,,,,,,,"GAM, PAN, RFE, VBZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bubikopf 2","Lettuce","Endive salad","https://www.reinsaat.at/shop/EN/lettuce/endive_salad/bubikopf_2/","[11,12,13,14]","Sa38","0.5 g",true,"1.57 g",,"[17,18,19,20,21,22]","from June to the end of July for harvest","30 x 30 - 40 cm","light germinator, only slightly cover with soil.",,,,,,,,"GAM, PAN, RFE, VBZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Géante maraîchère","Lettuce","Endive salad","https://www.reinsaat.at/shop/EN/lettuce/endive_salad/g_ante_mara_ch_re/","[11,12,13,14]","Sa42","0.5 g",true,"1.55 g",,"[17,18,19,20,21,22]","from June to the end of July for harvest","30 x 30 - 40 cm","light germinator, only slightly cover with soil.",,,,,,,,"GAM, PAN, RFE, VBZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bonela","Beans","Scarlet runner beans","https://www.reinsaat.at/shop/EN/beans/scarlet_runner_beans/bonela/","[9,10,11,12]","Bo32","18 Seeds",true,"1665.86 g",,"[15,16,17,18]",,"80x90 cm to 80 x100 cm","approx. 2-3 cm",,,"6-8 beans per pole","from beginning of May to end of June",,,,"DBO","1200g-1800g (variety dependent)",,,,"beans in pods after approx. 13 weeks; seeds after approx. 20 weeks.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gewone Snij","Celery","Cutting celery","https://www.reinsaat.at/shop/EN/celery/cutting_celery/gewone_snij/",,"Se16","0.1 g",true,"0.28 g","[8,9]","[11,12,13,14,15,16,17,18,19]","[3,4,5,6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Preisgewinner","Beans","Scarlet runner beans","https://www.reinsaat.at/shop/EN/beans/scarlet_runner_beans/preisgewinner/","[9,10,11,12]","Bo33","30 g",true,"1265.71 g",,"[15,16,17,18]",,"80x90 cm to 80 x100 cm","approx. 2-3 cm",,,"6-8 beans per pole","from beginning of May to end of June",,,,"DBO","1200g-1800g (variety dependent)",,,,"beans in pods after approx. 13 weeks; seeds after approx. 20 weeks.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Helena","Cucumbers","Cucumbers","https://www.reinsaat.at/shop/EN/cucumbers/cucumbers_1/helena/",,"Gu21",,true,"37.41 g",,"[11,12,13,14,15,16,17,18]","[6,7,8,9,10]","outdoors 100x30-40 cm, greenhouse cultivation 100x40 cm","approx. 2 cm",,,"direct sowing: 20-30 g/acre;","direct sowing outdoors at the end of April or beginning of May, if no more frosts are to be expected. Sow in cold greenhouse from mid-April, planting in early May",,,,"ASC, BSA, FPE, GHO, JPE, RFE, ROS, SPE","15 -30g",,,,,"20 – 25° C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Erdkirsche Molly","Conservation varieties",,"https://www.reinsaat.at/shop/EN/conservation_varieties/erdkirsche_molly/",,"CV11","40 Seeds",false,"0.76 g","[10,11]","[14,15,16,17,18]","[5,6,7,8,9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arola","Cucumbers","Cucumbers","https://www.reinsaat.at/shop/EN/cucumbers/cucumbers_1/arola/",,"Gu3",,true,"27.55 g",,"[11,12,13,14,15,16,17,18]","[6,7,8,9,10]","outdoors 100x30-40 cm, greenhouse cultivation 100x40 cm","approx. 2 cm",,,"direct sowing: 20-30 g/acre;","direct sowing outdoors at the end of April or beginning of May, if no more frosts are to be expected. Sow in cold greenhouse from mid-April, planting in early May",,,,"ASC, BSA, FPE, GHO, JPE, RFE, ROS, SPE","15 -30g",,,,,"20 – 25° C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Horned cucumber Kiwano","Conservation varieties",,"https://www.reinsaat.at/shop/EN/conservation_varieties/horned_cucumber_kiwano/","[10,11]","CV39","10 Seeds",false,"15.35 g",,"[13,14,15,16,17,18]","[7,8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kipflerbohne Justi","New varieties 2023",,"https://www.reinsaat.at/shop/EN/new_varieties_2023/kipflerbohne_justi/","[9,10,11,12]","Bo47","25 g",false,"420.00 g",,"[13,14,15,16,17,18]",,"80x90 cm to 80x100 cm","approx. 2-3 cm",,,"0.7-1 kg/acre; 6-10 beans per pole","direct outdoors from beginning of May to end of June",,,,,"approx. 135-580g (variety dependent)",,,,,,"after approx. 8-12 weeks.","AMA, FPE, GBL, PAN, RFE, RUL, SPE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Di Milano a colletto viola","Brassica","Turnips","https://www.reinsaat.at/shop/EN/brassica/turnips/di_milano_a_colletto_viola/","[5,6,7,8,13,14,15,16]","Ko80","für ca. 500 Pflanzen",true,"1.84 g",,"[12,13,14,15,16,17,18,19,20]",,"20-30 x 5-10 cm","1-2 cm",,,"40-50 g/acre","the first sowing – March -April till May;",,,,"DBO, RFE, SAT","1,5-2,2 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Snowball","Brassica","Turnips","https://www.reinsaat.at/shop/EN/brassica/turnips/snowball/","[5,6,7,8,13,14,15,16]","Ko81","1.5 g",true,"1.87 g",,"[12,13,14,15,16,17,18,19,20]",,"20-30 x 5-10 cm","1-2 cm",,,"40-50 g/acre","the first sowing – March -April till May;",,,,"DBO, RFE, SAT","1,5-2,2 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jaune boule d‘or","Brassica","Turnips","https://www.reinsaat.at/shop/EN/brassica/turnips/jaune_boule_d_or/","[5,6,16,17]","Ko82","1.5 g",true,"1.71 g",,"[9,10,18,19,20]",,"20-30 x 5-10 cm","1-2 cm",,,"40-50 g/acre","the first sowing – March -April till May;",,,,"DBO, RFE, SAT","1,5-2,2 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Platte Witte Mei","Brassica","Turnips","https://www.reinsaat.at/shop/EN/brassica/turnips/platte_witte_mei/","[5,6,7,8,13,14,15,16]","Ko83","1.5 g",true,"1.90 g",,"[12,13,14,15,16,17,18,19,20]",,"20-30 x 5-10 cm","1-2 cm",,,"40-50 g/acre","the first sowing – March -April till May;",,,,"DBO, RFE, SAT","1,5-2,2 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blanc globe à collet violet","Brassica","Turnips","https://www.reinsaat.at/shop/EN/brassica/turnips/blanc_globe_collet_violet/","[11,12,13,14,15]","Ko85","1.5 g",true,"2.33 g",,"[17,18,19,20]",,"20-30 x 5-10 cm","1-2 cm",,,"40-50 g/acre","the first sowing – March -April till May;",,,,"DBO, RFE, SAT","1,5-2,2 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Petrowski","Brassica","Turnips","https://www.reinsaat.at/shop/EN/brassica/turnips/petrowski/","[9,10,11,12,13,14,15,16,17,18]","Ko84","1 g",true,"1.40 g",,"[12,13,14,15,16,17,18,19,20,21]",,"20-30 x 5-10 cm","1-2 cm",,,"40-50 g/acre","the first sowing – March -April till May;",,,,"DBO, RFE, SAT","1,5-2,2 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Melothria","Conservation varieties",,"https://www.reinsaat.at/shop/EN/conservation_varieties/melothria/","[10,11]","CV103","50 Seeds",false,"2.92 g",,"[13,14,15,16,17,18]","[7,8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Luffa","Conservation varieties",,"https://www.reinsaat.at/shop/EN/conservation_varieties/luffa/","[10,11]","CV40","8 Seeds",false,"72.00 g",,"[13,14,15,16,17]","[6,7,8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Halblange Weiße","Parsnips",,"https://www.reinsaat.at/shop/EN/parsnips/halblange_weisse/","[4,5,6,7,8,9,10]","Pa90","für ca. 7-10m²",true,"4.60 g",,"[1,2,19,20,21,22,23,24]",,"30-50 x 5-10 cm","approx. 2 cm",,,"30-50 g/acre","February to June",,,,"RFE, SAT, WAP","3,5 – 7,5 g",,,,,"25 – 30°C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cardy","Conservation varieties",,"https://www.reinsaat.at/shop/EN/conservation_varieties/cardy/",,"CV44","25 Seeds",false,"47.95 g","[9,10]","[19,20]","[3,4,5,6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Okra","Conservation varieties",,"https://www.reinsaat.at/shop/EN/conservation_varieties/okra/",,"CV104","1.5 g",false,"62.50 g","[10,11]","[14,15,16]","[4,5,6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schlangenhaargurke","Conservation varieties",,"https://www.reinsaat.at/shop/EN/conservation_varieties/schlangenhaargurke/",,"CV47",,false,"284.50 g",,"[15,16]","[7,8,9,10]",,,,,,,,,,,,,,,,,,,"[10,11]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schleswiger Schnee","Parsnips",,"https://www.reinsaat.at/shop/EN/parsnips/schleswiger_schnee/","[4,5,6,7,8,9,10]","Pa92","5 g",true,"8.20 g",,"[1,2,19,20,21,22,23,24]",,"30-50 x 5-10 cm","approx. 2 cm",,,"30-50 g/acre","February to June",,,,"RFE, SAT, WAP","3,5 – 7,5 g",,,,,"25 – 30°C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Litchi-tomato","Conservation varieties",,"https://www.reinsaat.at/shop/EN/conservation_varieties/litschitomate/","[10]","CV52","20 seeds",false,"3.40 g",,"[15,16]","[6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andenbeere Schönbrunner Gold","Conservation varieties",,"https://www.reinsaat.at/shop/EN/conservation_varieties/andenbeere_schoenbrunner_gold/",,"CV10","40 Seeds",true,"1.22 g","[10,11,12]","[15,16,17,18,19]","[5,6,7,8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hokkai Green","Vegetable soy - Edamame",,"https://www.reinsaat.at/shop/EN/vegetable_soy_-_edamame/hokkai_green/","[8,9,10,11]","Bo73",,false,"360.00 g",,"after approx. 3 months.",,"30-50 cm, 25 plants per m²","approx. 4 cm",,,"80-100 kg/hectare. Do not sow the seeds too densely!","direct outdoors from mid-April to mid-June",,,,"GSO","approx. 360-460g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sweet Dumpling","Pumpkins / Squash","Edible Pumpkins / Squash","https://www.reinsaat.at/shop/EN/pumpkins_squash/edible_pumpkins_squash/sweet_dumpling/","[10,11]","Kü63","10 Seeds",false,"58.35 g",,"[16,17,18,19,20]","[7,8,9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asparagus lettuce Chinesische Keule","Conservation varieties",,"https://www.reinsaat.at/shop/EN/conservation_varieties/asparagus_lettuce_chinesische_keule/",,"CV25","für ca. 200 Pflanzen",true,"1.28 g","[8,9,10,11]","[13,14,15,16,17]","[4,5,6,7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Purple Tomatillo","Conservation varieties",,"https://www.reinsaat.at/shop/EN/conservation_varieties/purple_tomatillo/",,"CV34","50 Seeds",true,"1.79 g","[10,11]","[15,16,17,18,19]","[6,7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Green Tomatillo","Conservation varieties",,"https://www.reinsaat.at/shop/EN/conservation_varieties/green_tomatillo/",,"CV35","50 Seeds",true,"1.77 g","[10,11]","[15,16,17,18,19]","[6,7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flat White Boer","Pumpkins / Squash","Edible Pumpkins / Squash","https://www.reinsaat.at/shop/EN/pumpkins_squash/edible_pumpkins_squash/flat_white_boer/","[10,11]","Kü37","8 Seeds",false,"226.25 g",,"[16,17,18,19,20]","[7,8,9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Phlox de Drummond","New varieties 2023",,"https://www.reinsaat.at/shop/EN/new_varieties_2023/phlox_de_drummond/",,"B230","0.12 g",false,"2.00 g","[10]",,,,,,,,,"[11,12,13,14]",,,,,,,,,,,,"[3,4,5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hokkai Black","Vegetable soy - Edamame",,"https://www.reinsaat.at/shop/EN/vegetable_soy_-_edamame/hokkai_black/","[8,9,10,11]","Bo72","35 seeds",true,"466.06 g",,"after approx. 3 months.",,"30-50 cm, 25 plants per m²","approx. 4 cm",,,"80-100 kg/hectare. Do not sow the seeds too densely!","direct outdoors from mid-April to mid-June",,,,"GSO","approx. 360-460g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Green Shell","Vegetable soy - Edamame",,"https://www.reinsaat.at/shop/EN/vegetable_soy_-_edamame/green_shell/","[8,9,10,11]","Bo71","35 Seeds",true,"391.57 g",,"after approx. 3 months.",,"30-50 cm, 25 plants per m²","approx. 4 cm",,,"80-100 kg/hectare. Do not sow the seeds too densely!","direct outdoors from mid-April to mid-June",,,,"GSO","approx. 360-460g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summer Shell","Vegetable soy - Edamame",,"https://www.reinsaat.at/shop/EN/vegetable_soy_-_edamame/summer_shell/","[8,9,10,11]","Bo70","35 Seeds",true,"400.90 g",,"after approx. 3 months.",,"30-50 cm, 25 plants per m²","approx. 4 cm",,,"80-100 kg/hectare. Do not sow the seeds too densely!","direct outdoors from mid-April to mid-June",,,,"GSO","approx. 360-460g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chiba Green","Vegetable soy - Edamame",,"https://www.reinsaat.at/shop/EN/vegetable_soy_-_edamame/chiba_green/","[8,9,10,11]","Bo74",,true,"466.06 g",,"after approx. 3 months.",,"30-50 cm, 25 plants per m²","approx. 4 cm",,,"80-100 kg/hectare. Do not sow the seeds too densely!","direct outdoors from mid-April to mid-June",,,,"GSO","approx. 360-460g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Patisson yellow/Lillesol","Pumpkins / Squash","Edible Pumpkins / Squash","https://www.reinsaat.at/shop/EN/pumpkins_squash/edible_pumpkins_squash/patisson_yellow_lillesol/","[10,11]","Kü17","9 seeds",true,"81.30 g",,"[16,17,18,19,20]","[7,8,9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thai basil","Culinary and aromatic herbs",,"https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/thai_basil/","[9,10,11]","Kr3","0.7 g",true,"1.05 g",,"[12,13,14,15,16,17]","[7,8,9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honeynut","Pumpkins / Squash","Edible Pumpkins / Squash","https://www.reinsaat.at/shop/EN/pumpkins_squash/edible_pumpkins_squash/honeynut/","[10,11]","Kü38","8 Seeds",true,"79.95 g",,"[16,17,18,19,20]","[7,8,9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basil italica","Culinary and aromatic herbs",,"https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/basil_italica/","[10,11]","Kr16","0.8 g",true,"1.57 g",,"[12,13,14,15,16,17]","[8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buch basil","Culinary and aromatic herbs",,"https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/buch_basil/","[10,11]","Kr4","0.5 g",true,"1.11 g",,"[12,13,14,15,16,17]","[8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lemon basil, Sweet Dany","Culinary and aromatic herbs",,"https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/lemon_basil_sweet_dany/","[10,11]","Kr7","0.9 g",true,"2.02 g",,"[12,13,14,15,16,17]","[8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basil a foglia di lattuga","Culinary and aromatic herbs",,"https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/basil_a_foglia_di_lattuga/","[7,8,9,10]","Kr9","0.5 g",true,"1.77 g",,"[11,12,13,14,15,16,17,18]","[3,4,5,6,7,8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basil Genovese","Culinary and aromatic herbs",,"https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/basil_genovese/","[10,11]","Kr11","für ca. 500 Einzelpflanzen.",true,"1.57 g",,"[12,13,14,15,16,17]","[8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cinnamon basil","Culinary and aromatic herbs",,"https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/cinnamon_basil/","[10,11]","Kr5","0.8 g",true,"1.70 g",,"[12,13,14,15,16,17]","[8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basil Rosso","Culinary and aromatic herbs",,"https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/basil_rosso/","[10,11]","Kr12","für ca. 500 Pflanzen",true,"1.36 g",,"[12,13,14,15,16,17]","[8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Small-leaved lemon basil","Culinary and aromatic herbs",,"https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/small-leaved_lemon_basil/","[10,11]","Kr13","0.8 g",true,"1.61 g",,"[12,13,14,15,16,17]","[8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basil mixture, green/red","Culinary and aromatic herbs",,"https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/basil_mixture_green_red/","[10,11]","Kr8","1 g",true,"1.52 g",,"[12,13,14,15,16,17]","[8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Borage","Culinary and aromatic herbs",,"https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/borage/","[6,7,8,9,10,11,12,13,14]","Kr40","für ca. 60 Pflanzen",true,"18.30 g",,"[10,11,12,13,14,15,16,17,18]","[5,6,7,8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Savoury, annual","Culinary and aromatic herbs",,"https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/savoury_annual/","[9,10,11,12]","Kr14","0.4 g",true,"0.45 g",,"[11,12,13,14,15,16,17,18]","[7,8,9,10]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marjoram (Dost)","Culinary and aromatic herbs",,"https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/marjoram_dost/","[10,11,12]","Kr25","0.3 g",true,"0.15 g",,"[11,12,13,14,15,16]","[7,8,9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lavander","Culinary and aromatic herbs",,"https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/lavander/","[9,10,11]","Kr22","für ca. 200 Pflanzen.",true,"0.74 g",,"[13,14,15,16]","[4,5,6,7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sage","Culinary and aromatic herbs",,"https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/sage/","[9,10,11,12,13,14]","Kr28","100 Pflanzen",true,"8.24 g",,"[10,11,12,13,14,15,16,17,18]","[4,5,6,7,8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thyme","Culinary and aromatic herbs",,"https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/thyme/","[8,9,10,11,12,13,14]","Kr33","für ca. 350 Pflanzen",true,"0.24 g",,"[11,12,13,14,15,16,17,18,19]","[6,7,8,9,10]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
